,0,1,2,3,4,5,6
0,0.7896064,0.38371736,-0.23473719,0.27128002,-0.23170884,-0.23286487,0.120981134
1,-0.9566401,-0.86245894,-0.28114375,-0.50641555,0.15712367,-0.45401204,-0.70615184
2,0.7328244,-0.11288815,0.0337641,-0.7123741,-0.27219138,0.055461295,-0.5754968
3,0.18784901,-0.30031934,-0.14584687,-0.3008533,0.9261391,-0.0067486125,-0.52885544
4,0.41127247,-0.61042184,0.1044318,-0.97983503,-0.664093,0.09843062,0.36923328
5,0.08568414,-0.057824142,-0.15055184,-0.739261,-0.3599221,-0.23031938,0.5285611
6,0.17180915,-0.8815201,0.16204199,-0.19254114,-0.338461,0.30583814,0.5154998
7,0.46564007,-0.41960877,-0.1546062,0.16563171,0.48777255,-0.23958711,-0.09282949
8,-0.55316746,-0.5981033,0.4062629,0.67812,-0.03600506,0.50176644,0.180818
9,-0.32255986,0.1806978,0.7690183,-0.01791302,0.7823218,-1.3098725,0.41095126
10,0.043523535,-0.14950368,0.04588039,-0.9937844,-0.109835945,0.17855628,0.73894703
11,-0.2591351,-0.4042468,-0.2508785,0.45770106,0.16437556,-0.2648801,0.25663373
12,0.048538774,0.4843225,-0.35102654,-0.16383107,-0.19605407,-0.73175746,0.14806014
13,0.13052763,0.0025567284,-0.11729357,-0.70768535,-0.21032266,-0.17135726,-0.40113863
14,-0.08064286,0.20202543,0.94309294,0.08728891,0.1287752,-0.03722296,-0.95938563
15,-0.013256937,0.030115105,1.231621,-0.09618048,0.15077367,-0.017355885,-0.584339
16,0.57141143,0.37596652,0.39551598,-0.45469373,0.7013972,-0.7009255,0.29342854
17,1.0952278,-0.49526817,-0.28314885,0.049825683,-0.25173783,-0.77533174,0.03428149
18,-0.53115183,0.23679622,-0.45971212,0.7749672,-0.39162666,-0.16103075,0.4067586
19,-0.61543214,0.11372997,0.65357137,-0.80374163,0.09231693,0.1299414,0.39091143
20,-0.6184754,-0.6602283,0.26097077,0.14849234,0.12524642,0.1732241,-0.34001237
21,0.11612685,0.14653623,-0.3571757,0.93288726,0.23691647,-0.59565175,0.3282768
22,-0.48734084,0.3935423,0.5792978,-0.41034117,0.48168805,0.20639047,0.41103008
23,0.9483965,-0.12269406,-0.37686807,-0.44475722,-0.40790513,-0.038550854,0.17057599
24,0.1383454,0.41359162,0.006500946,0.72676706,-0.13232842,1.3600845,0.31283367
25,-0.42857876,-0.5354462,0.24123621,-0.111731395,0.35700026,0.23661882,-0.036414456
26,-0.42339686,-0.75742364,-0.22325748,0.4281994,0.10704687,-0.6228694,0.08659046
27,0.1926587,-0.4419287,0.07686255,0.02910436,-0.57148516,0.17889369,0.28039226
28,0.5415256,0.526901,-0.68883467,-0.4689125,0.25751764,0.25689298,0.25752383
29,1.9263657,0.28544524,0.5677828,0.4770009,0.32569563,-0.15763462,0.37948462
30,-0.38641262,-0.118409306,-0.24268177,0.04093707,1.1573293,-0.9336326,0.34313008
31,-0.8063579,-0.23596594,0.5444753,0.03214001,-0.53887236,-0.35765186,0.33979887
32,-0.36518332,0.108229294,0.02278592,-0.32580018,1.071972,0.3169595,-1.0125713
33,0.093227156,-0.33089322,0.42621666,-0.39626038,-0.05736822,0.25249365,0.4328776
34,-0.6001482,-0.16725062,-0.23747265,-0.32666463,0.88272715,0.20249085,-0.63044196
35,0.45893097,1.0610781,0.5162326,-0.759685,-0.24211703,0.6334556,-0.35383472
36,0.22190972,0.38731703,-0.46346524,-0.029762678,-1.6206337,-0.5121938,-0.12628408
37,-0.6238916,0.8162057,-0.71507066,-0.22002225,0.06537029,0.72063667,-0.7179311
38,0.5815819,0.0051165307,-0.49075434,0.23105174,0.09952985,-0.30010843,0.03490104
39,-0.1926568,0.056758672,0.33106533,0.7930084,-0.61890775,1.0665166,-0.9760439
40,-0.075892545,0.2941586,0.14049594,-0.31134975,-0.10406113,-0.24650046,-0.29468238
41,0.42480105,0.17850775,-0.3464548,0.44979993,0.15364976,0.40643105,0.31481442
42,-0.4144975,-0.2800905,0.3736468,0.30518514,-0.010450797,0.058663692,0.63883245
43,-0.2957857,0.2735487,-0.101096325,-0.1088406,0.5493884,0.41270816,0.40675482
44,0.6527394,0.010501921,0.34097648,-0.15513338,0.16208318,-0.06507153,0.048497982
45,0.2975785,-0.40911034,1.0461936,-0.50300866,-0.6070943,0.5790554,0.39583135
46,0.3120599,0.31417274,-0.0061233863,-0.44862717,0.03790228,-0.33858085,0.48755985
47,-0.07352869,-0.4127486,-0.16069292,0.20646572,-0.2818623,-0.4111102,0.121843606
