,x-acc,y-acc,z-acc,x-mag,y-mag,z-mag
0,1.5740652,-0.44507748,2.3257902,-0.73285085,0.6740281,-2.9507103
1,1.2541747,-0.3683423,2.2223117,-0.73285085,0.6740281,-2.9507103
2,1.1582074,-0.34532174,2.1912682,-0.73285085,0.6740281,-2.9507103
3,1.1439898,-0.33373696,2.1870873,-0.73285085,0.6740281,-2.9507103
4,0.859637,-0.102040574,2.1034698,-0.73285085,0.6740281,-2.9507103
5,0.66058993,0.060146872,2.0449376,-0.71119004,0.66450363,-2.9311862
6,0.66058993,0.060146872,2.0449376,-0.6389872,0.6327555,-2.866106
7,0.4058496,0.009984009,1.9560956,-0.6209365,0.62481844,-2.8498359
8,-0.05731459,-0.08122121,1.794565,-0.6209365,0.62481844,-2.8498359
9,-0.14994754,-0.099462256,1.7622588,-0.5374572,0.61380655,-2.7578707
10,-0.13296773,-0.15611154,1.7240149,-0.48528272,0.60692406,-2.7003922
11,-0.08445432,-0.31796658,1.6147465,-0.48528272,0.60692406,-2.7003922
12,-0.050495043,-0.43126515,1.5382586,-0.48528272,0.60692406,-2.7003922
13,-0.050495043,-0.43426636,1.5324097,-0.48528272,0.60692406,-2.7003922
14,-0.050495043,-0.4942903,1.4154316,-0.48528272,0.60692406,-2.7003922
15,-0.050495043,-0.55431426,1.2984537,-0.48528272,0.60692406,-2.7003922
16,-0.050495043,-0.56631905,1.275058,-0.37417582,0.6171495,-2.5495257
17,-0.07480544,-0.5693202,1.2464899,-0.3394549,0.6203449,-2.5023797
18,-0.11900647,-0.57477695,1.1945478,-0.3394549,0.6203449,-2.5023797
19,-0.14994754,-0.57859665,1.1581883,-0.29598403,0.62278503,-2.433092
20,-0.14994754,-0.57859665,1.1581883,-0.1800617,0.6292921,-2.2483256
21,-0.033542853,-0.6065004,1.0828207,-0.1800617,0.6292921,-2.2483256
22,0.082861826,-0.63440406,1.0074528,-0.1800617,0.6292921,-2.2483256
23,0.10614273,-0.6399848,0.9923794,-0.1800617,0.6292921,-2.2483256
24,0.10614273,-0.6242694,0.94251496,-0.1800617,0.6292921,-2.2483256
25,0.10614273,-0.6046252,0.8801844,-0.1800617,0.6292921,-2.2483256
26,0.10614273,-0.5908743,0.8365531,-0.08035608,0.6480812,-2.0824435
27,0.11643092,-0.5730929,0.82244813,-0.013885802,0.6606073,-1.971855
28,0.13112818,-0.5476909,0.8022981,-0.013885802,0.6606073,-1.971855
29,0.1458256,-0.5222889,0.7821482,-0.013885802,0.6606073,-1.971855
30,0.14876507,-0.5172085,0.77811813,0.12176799,0.67850167,-1.6468153
31,0.012259649,-0.54078156,0.8092834,0.12176799,0.67850167,-1.6468153
32,-0.15837236,-0.5702479,0.84824,0.12176799,0.67850167,-1.6468153
33,-0.29461622,-0.5931066,0.87698525,0.12176799,0.67850167,-1.6468153
34,-0.46263057,-0.6154296,0.8917415,0.12176799,0.67850167,-1.6468153
35,-0.6306449,-0.63775253,0.9064979,0.12176799,0.67850167,-1.6468153
36,-0.7986592,-0.6600755,0.92125416,0.12176799,0.67850167,-1.6468153
37,-0.83226216,-0.66454005,0.92420536,0.28066897,0.70274574,-1.286343
38,-0.83226216,-0.66454005,0.92420536,0.31677032,0.7142905,-1.1947486
39,-0.83226216,-0.66454005,0.92420536,0.35287166,0.7258353,-1.1031543
40,-0.7104837,-0.64875454,0.84907484,0.37272748,0.7321849,-1.0527773
41,-0.54811245,-0.6277072,0.7489008,0.37272748,0.7321849,-1.0527773
42,-0.54811245,-0.6277072,0.7489008,0.37272748,0.7321849,-1.0527773
43,-0.5148431,-0.6399848,0.742408,0.37272748,0.7321849,-1.0527773
